"ID","PointName","System","Device","PointType","TimeInterval","Unit","Source","Correction"
2460004,"NVE_EC_67_B8nvoI4","Building","Fire Alarm","Test",1,"","Control",""
2480001,"NVE_EC_67_B9nvoI1","Representative Office","145","HotWaterSupplyTemp",1,"Degrees F","Sensor","DivBy10"
2480002,"NVE_EC_67_B9nvoI2","Representative Office","145","HotWaterReturnTemp",1,"Degrees F","Sensor","DivBy10"
2480003,"NVE_EC_67_B9nvoI3","Representative Office","145","HotWaterFlowRate",1,"GPM","Sensor","DivBy10"
4230001,"NVE_ECP_300_M3nvoI1","Space","M08","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4230002,"NVE_ECP_300_M3nvoI2","Space","M08","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4230003,"NVE_ECP_300_M3nvoI3","Space","M09","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4230004,"NVE_ECP_300_M3nvoI4","Space","M09","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4230005,"NVE_ECP_300_M3nvoI5","Space","M10","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4230006,"NVE_ECP_300_M3nvoI6","Space","M10","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4230007,"NVE_ECP_300_M3nvoI7","Space","M11","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4230008,"NVE_ECP_300_M3nvoI8","Space","M11","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4420001,"NVE_ECP_300_M3nvoO1","Active Beam","M08","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4420002,"NVE_ECP_300_M3nvoO2","Active Beam","M08","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4420003,"NVE_ECP_300_M3nvoO3","Active Beam","M09","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4420004,"NVE_ECP_300_M3nvoO4","Active Beam","M09","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4420005,"NVE_ECP_300_M3nvoO5","Active Beam","M10","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4420006,"NVE_ECP_300_M3nvoO6","Active Beam","M10","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4420007,"NVE_ECP_300_M3nvoO7","Active Beam","M11","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4420008,"NVE_ECP_300_M3nvoO8","Active Beam","M11","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4430001,"NVE_ECP_400_M1nvoI1","Space","M03","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4430002,"NVE_ECP_400_M1nvoI2","Space","M03","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4430003,"NVE_ECP_400_M1nvoI3","Space","M04","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4430004,"NVE_ECP_400_M1nvoI4","Space","M04","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4430005,"NVE_ECP_400_M1nvoI5","Space","M05","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4430006,"NVE_ECP_400_M1nvoI6","Space","M05","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4430007,"NVE_ECP_400_M1nvoI7","Space","M06","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4430008,"NVE_ECP_400_M1nvoI8","Space","M06","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4430009,"NVE_ECP_400_M1nvoI9","Space","M07","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4430010,"NVE_ECP_400_M1nvoI10","Space","M07","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4440001,"NVE_ECP_400_M1nvoO1","Active Beam","M03","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4440002,"NVE_ECP_400_M1nvoO2","Active Beam","M03","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4440003,"NVE_ECP_400_M1nvoO3","Active Beam","M04","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4440004,"NVE_ECP_400_M1nvoO4","Active Beam","M04","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4440005,"NVE_ECP_400_M1nvoO5","Active Beam","M05","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4440006,"NVE_ECP_400_M1nvoO6","Active Beam","M05","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4440007,"NVE_ECP_400_M1nvoO7","Active Beam","M06","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4440008,"NVE_ECP_400_M1nvoO8","Active Beam","M06","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4440009,"NVE_ECP_400_M1nvoO9","Active Beam","M07","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4440010,"NVE_ECP_400_M1nvoO10","Active Beam","M07","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4450001,"NVE_ECP_400_M2nvoI1","Space","M21","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4450002,"NVE_ECP_400_M2nvoI2","Space","M21","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4450003,"NVE_ECP_400_M2nvoI3","Space","M22","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4450004,"NVE_ECP_400_M2nvoI4","Space","M22","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4450005,"NVE_ECP_400_M2nvoI5","Space","M23","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
